OBJECTID,Facility_N,Type,Owner,County,Sub_County,Division,Location,Sub_Locati,Constituen,Nearest_To,Latitude,Longitude
153,Agha Khan University Hospital (Kikuyu Medical Centre),Other Hospital,Private Enterprise (Institution),Kiambu,Kikuyu,Kikuyu,Kikuyu,Kikuyu,KABETE,Kikuyu,-1.24577,36.66211
154,Agma Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Vihiga,Hamisi,Shaviringa,Shaviringa,Shiru,HAMISI,Shiru,0.15523,34.91108
155,Agro Chemical Dispensary,Dispensary,Private Enterprise (Institution),Kisumu,Muhoroni,Muhoroni,God Nyithindo,Orego,MUHORONI,Muhoroni Township Market,0,35
156,Aguthi Dispensary,Dispensary,Ministry of Health,Nyeri,Tetu,Tetu,Aguthi,Gititu,TETU,Gititu,-0.54185,37.02399
157,Ahadi Maternity Services,Dispensary,Private Practice - Nurse / Midwife,Kiambu,Lari,Lari,Lari,Lari,LARI,Lari,-1.00341,36.74133
158,Ahadi Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kilifi,Kaloleni,Mariakani,Mariakani,Mariakani,KALOLENI,Mariakani,-3.83283,39.4514
159,Ahero County Hospital,Other Hospital,Ministry of Health,Kisumu,Nyando,Nyando,Kakola,Kakola Ahero,NYANDO,Ahero,-0.17321,34.92367
160,Ahero Medical Centre,Medical Clinic,Private Practice - Nurse / Midwife,Kisumu,Nyando,Nyando,Onjiko,Kakmie,NYANDO,Ahero,-0.17296,34.92412
161,AHF Soko Clinic,Medical Clinic,Non-Governmental Organizations,Mombasa,Kisauni,Kisauni,Kongowea,Kongowea,KISAUNI,Kongowea,-4.04153,39.68325
162,Ahmadiya Hospital,Other Hospital,Other Faith Based,Kakamega,Mumias,East Wanga,Lubinu,Lubinu,MUMIAS,Mumias,0.31409,34.57571
163,AIC Biribiriet Dispensary,Dispensary,Other Faith Based,Trans Nzoia,Trans Nzoia East,Kaplamai,Kaplamai,Biribiriet,CHERANGANI,Kachibora,1.02893,35.16853
164,AIC Dispensary (Isiolo),Dispensary,Christian Health Association of Kenya,Isiolo,Isiolo,Central,East,Wabera,ISIOLO NORTH,Isiolo,0.33828,37.57018
165,AIC Ebenezer,Dispensary,Christian Health Association of Kenya,Baringo,Baringo Central,Kabarnet,Ngolong,Ngolong,BARINGO CENTRAL,Kabarnet,0.48535,35.74207
166,AIC Gituru Dispensary,Dispensary,Christian Health Association of Kenya,Murang'a,Kandara,Kandara,Ruchu,Gituru,KANDARA,Githumu,-0.81464,36.8668
167,AIC Kalamba Dispensary,Dispensary,Other Faith Based,Makueni,Nzaui,Kalamba,Kalamba,Kalamba,MAKUENI,Kalamba,-1.86649,37.51275
168,AIC Litein Mission Hospital,Other Hospital,Other Faith Based,Kericho,Bureti,Bureti,Litein,Litein,BURET,Litein,-0.58621,35.1865
169,AIC Liten VCT,VCT Centre (Stand-Alone),Christian Health Association of Kenya,Kericho,Bureti,Bureti,Litein,Litein,BURET,Litein Town,-0.58129,35.19104
170,AIC Mukaa Dispensary,Dispensary,Christian Health Association of Kenya,Makueni,Mukaa,Kilome,Mukaa,Mukaa,KILOME, Nunguni,-1.83442,37.32693
171,AIC Mununga Dispensary,Dispensary,Christian Health Association of Kenya,Murang'a,Kigumo,Kigumo,Kigumo,Kigumo,KIGUMO,Kigumo,-0.78096,36.92437
172,AIC Parkview Dispensary,Dispensary,Christian Health Association of Kenya,Nakuru,Nakuru,Nakuru Municipality,Kaptembwo,Rhonda,NAKURU TOWN,Kipanga market,-0.31257,36.05826
173,AIC Zion Medical Clinic,Medical Clinic,Other Faith Based,Nairobi,Mathare,Huruma,Huruma,Huruma,MATHARE, ,-1.26107,36.87213
174,AIC Zombe  Dispensary,Dispensary,Christian Health Association of Kenya,Kitui,Mutitu,zombe/mwitika ward,Zombe,Malatani,MUTITO,Mutito,-1.44564,38.24427
175,AIDS Health Care Foundation Parklands Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Westlands,Parklands,Parklands,Highridge,WESTLANDS,Next to Nakumatt Highridge,-1.25811,36.81368
176,Aids HealthCare Foundation Eastleigh,Dispensary,Non-Governmental Organizations,Nairobi,Kamukunji, , , ,KAMUKUNJI, ,-1.2663,36.85348
177,Aimon med clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nairobi,Ruaraka,Kasarani,Ruaraka,babadogo,RUARAKA, ,-1.24041,36.89572
178,Aina Onlus,Dispensary,Other Faith Based,Meru,Tigania West,Uringu,Nkomo,Kunene,TIGANIA WEST,Nchiru,0.11539,37.71327
179,Ainabkoi (RCEA) Health Centre,Health Centre,Ministry of Health,Uasin Gishu,Eldoret East,Ainapkoi,Ainabkoi,Ainabkoi West,ELDORET EAST,Eldoret,0.16561,35.52176
180,Ainamoi Dispensary,Dispensary,Ministry of Health,Nakuru,Kuresoi,Olenguruone,Sinendet,Ainamoi,KURESOI,Irongo centre,-0.55684,35.60215
181,Ainamoi Health Centre,Health Centre,Ministry of Health,Kericho,Kericho,Ainamoi,Ainamoi,Ainamoi,AINAMOI,Kericho,-0.299435,35.27442
182,AIPCA Mahinga Dispensary,Dispensary,Other Faith Based,Nyandarua,Kinangop,Magumu,Bamboo,Matura,KINANGOP,Fly Over Township,-0.36219,36.346
183,Air Port Medical Centre,Medical Clinic,Private Enterprise (Institution),Machakos,Athi River,Athi River,Katani,Mlolongo,KATHIANI,Mlolongo,-1.39374,36.94028
184,Airborne No Twist Huduma Bora Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,Kirinyaga East, , , ,GICHUGU, ,-0.43029,37.3092
185,Airport Dispensary (Kisumu),Dispensary,Local Authority,Kisumu,Kisumu West,Winam,East Kisumu,Kogony,KISUMU TOWN EAST,Kisumu,-0.07331,34.73359
186,Airport View Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mombasa,Changamwe,Changamwe,Changamwe,Changamwe,CHANGAMWE,Mombasa,-4.02982,39.6125
187,Airstrip Medical Clinic (Moyale),Medical Clinic,Other Public Institution,Marsabit,Moyale,Central,Sessi,Sessi,SAKU,Moyale,3.5234,39.0486
188,Airtech Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kajiado,Kajiado North,Ongata Rongai,Ongata Rongai,Ongata Rongai,KAJIADO NORTH,Ongata Rongai,-1.45336,36.65985
189,Aiyebo Dispensary,Dispensary,Ministry of Health,Baringo,Baringo North,Kabartonjo,Saimo,Tirimionin,BARINGO NORTH,Kabartonjo,0.65783,35.80768
190,Ajam VCT,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kajiado,Kajiado North,Ongata Rongai,Kiserian,Kiserian,KAJIADO NORTH,Kiserian,-1.44125,36.69003
191,Ajawa Health Centre,Health Centre,Ministry of Health,Wajir,Wajir North,Gurar,Ajawa,Ajawa,WAJIR NORTH,Ajawa,2.96213,39.69098
192,Aka Khan  Medical Clinic,Medical Clinic,Private Practice - Unspecified,Trans Nzoia,Trans Nzoia West,Central,Municipality, ,SABOTI,Kitale,1.01212,35.007
193,Akachiu Health Centre,Health Centre,Ministry of Health,Meru,Igembe South,Igembe S,Kanuni,Antuambui,IGEMBE,Kanuni Market,0.18318,37.95661
194,Akado Dispensary,Dispensary,Private Practice - Nurse / Midwife,Homa Bay,Mbita,Mbita,Gembe West,Mbita Township,MBITA,Mbita,-0.44261,34.22513
195,Akala Health Centre,Health Centre,Ministry of Health,Siaya,Gem,Wagai,South West Gem,Ndori,GEM,Akala Market,0.05961,34.42139
196,Akemo Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Mombasa,Likoni,Likoni,Likoni, ,LIKONI,Mombasa,-4.08743,39.65945
197,Akemo Nursing Home,Maternity Home,Private Enterprise (Institution),Narok,Trans Mara West - Dikirr,Kilgoris,Poroko,Poroko,KILGORIS,Nyangusu,-0.93404,34.84508
198,Akicha Medical Services,Medical Clinic,Private Practice - Clinical Officer,Turkana,Turkana Central,Central,Kanamkemer,Nawoitorong,TURKANA CENTRAL,Lodwar,3.10973,35.60969
199,Akichelesit Dispensary,Dispensary,Ministry of Health,Busia,Teso North,Angurai,Kakapel,Kekalet,AMAGORO,Angurai,0.69133,34.34332
200,Akidiva Kehancha Outpatient Clinic,Medical Clinic,Private Practice - General Practitioner,Migori,Kuria West,Kehancha,Bukira East,Igena,MIGORI,Kehancha Township,-1.19707,34.61838
201,Akiriamasi Dispensary,Dispensary,Ministry of Health,Busia,Teso South, , , ,AMAGORO, ,0.54572,34.21068
202,Akorian Dispensary,Dispensary,Ministry of Health,Baringo,Baringo North, , , ,BARINGO NORTH, ,0.62234,35.90683
203,Akshar Nursing Home,Nursing Home,Private Enterprise (Institution),Kiambu,Kikuyu,Kikuyu,Kikuyu,Kikuyu,KABETE,Kikuyu Township,-1.2486,36.66343
204,Akwichatis Health Centre,Health Centre,Ministry of Health,Baringo,East Pokot,Mondi division,Naudo Location,Akwichatis,BARINGO EAST, ,1.0015,36.23617
205,Al - Azhar Medical Clinic Centre,Medical Clinic,Private Practice - Nurse / Midwife,Wajir,Wajir East,Central,Wagberi,Wagberi,WAJIR EAST,Wajir,1.75741,40.06809
206,Al - Bushra Medical Centre,Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir Cereal Board,1.75101,40.05594
207,Al - Hayat Medicare,Medical Clinic,Private Practice - Nurse / Midwife,Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.74546,40.0578
208,Al - Nasri Medical Care,Medical Clinic,Private Practice - Clinical Officer,Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Township Primary School,1.74395,40.05675
209,Al Amin Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Garissa,Garissa,Central, , ,DUJIS, ,-0.44251,39.64477
210,Al Amin Nursing Home,Health Centre,Private Practice - Clinical Officer,Nairobi,Kamukunji,Eastleigh North,Eastleigh North,Eastleigh North,KAMUKUNJI,Garissa Lodge,-1.27144,36.84545
211,Al -Arbrar Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Samburu,Samburu Central,Kirisia,Maralal,Maralal,SAMBURU WEST,Maralal,1.09575,36.6982
212,Al Azhar Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Mombasa,Mvita,Island,Majengo,Guraya,MVITA, ,-4.05469,39.66462
213,Al Farooq Hospital,Other Hospital,Private Enterprise (Institution),Mombasa,Mvita,Island,Majengo,Majengo,MVITA,Sega market - Mombasa,-4.04899,39.66513
214,Al Iklas Nursing Home,Nursing Home,Private Practice - Nurse / Midwife,Garissa,Garissa,Central,Medina,Medina,DUJIS,Medina,-0.43733,39.65465
215,AL Nur Medical Clinic & Laboratory,Medical Clinic,Private Enterprise (Institution),Kisumu,Kisumu East,Winam,Township,Southern,KISUMU TOWN EAST,Stage Market,-0.10131,34.76148
216,Al Qudus Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Garissa,Garissa, , , ,DUJIS, ,-0.42807,39.65069
217,Al Riyadh Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mombasa,Changamwe,Changamwe,Changamwe,Changamwe,CHANGAMWE,Mombasa,-4.02498,39.62522
218,Al-Agsa Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mombasa,Mvita,Island,Majengo,Majengo,MVITA,Mombasa,-4.04328,39.66141
219,Alakara Medical Clinic,Medical Clinic,Private Enterprise (Institution),Turkana,Turkana West,Lokichoggio,Lokichoggio,Lokichoggio,TURKANA WEST,Lokichoggio,4.24126,34.3986
220,Alale (AIC) Health Centre,Health Centre,Christian Health Association of Kenya,West Pokot,North Pokot,Alale,Alale,Amakuriat,KACHELIBA,Makutano,2.26698,35.02813
221,Alale Health Centre,Health Centre,Ministry of Health,West Pokot,North Pokot,Alale,Alale,Alale,KACHELIBA,Makutano,2.25005,35.02779
222,Al-Amin Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kilifi,Malindi,Malindi,Malindi,Central,MALINDI,Malindi,-3.21457,40.11477
223,Al-Ansar Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Mandera,Mandera East,Central,Bulla Jamhuri,Bulla Jamhuria,MANDERA EAST,Mandera,3.93993,41.85313
224,Al-Aqsa Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Garissa,Garissa,Central,Central,Central,DUJIS,Garissa,-0.43754,39.64364
225,Albilal Medical Clinic (Moyale),Medical Clinic,Private Practice - Unspecified,Marsabit,Moyale,Central,Central,Central,SAKU,Moyale,3.5254,39.0584
226,Al-Bir Medical Centre,Medical Clinic,Private Enterprise (Institution),Mombasa,Kisauni,Island,Tononoka,Tononoka,KISAUNI,Mombasa,-4.05228,39.67372
227,Al-Bir Medical Centre (Kilindini),Medical Clinic,Private Enterprise (Institution),Mombasa,Changamwe,Changamwe,Portreitz,Kwahola,CHANGAMWE,Mombasa,-4.03019,39.62144
228,Aldai Medical Services,Medical Clinic,Private Practice - Clinical Officer,Nandi,Nandi East,Nandi Hills,Kapngetuny,Kapngetuny,TINDERET,Nandi Hills,0.10507,35.18089
229,Alfa Clinic,Dispensary,Private Enterprise (Institution),Nyamira,Borabu,Esise,Esise,Manga/Raitigo,NORTH MUGIRANGO,Manga,-0.82872,35.02643
230,Alfalah Nursing Home,Health Centre,Supreme Council for Kenya Muslims,Isiolo,Isiolo,Central,Central,Bulapesa,ISIOLO NORTH,Isiolo,0.34842,37.58112
231,Al-Fallah Medical Clinic,Medical Clinic,Private Enterprise (Institution),Nairobi,Kamukunji, , , ,KAMUKUNJI, ,-1.27173,36.85126
232,Al-Faruq Dispensary,Dispensary,Supreme Council for Kenya Muslims,Garissa,Garissa,Central,Waberi,Waberi,DUJIS,Soko Ngombe,-0.4422,39.65883
233,Al-Faruq Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Garissa,Garissa,Central, , ,DUJIS, ,-0.43834,39.65516
234,Al-Firdaus Health Care,Medical Clinic,Private Practice - General Practitioner,Mombasa,Mvita,Island,Tononoka,Tononoka,MVITA,Majengo,-4.04535,39.66511
235,Al-Furaqan Clinic,Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.74871,40.05859
236,Al-Gadhir Clinic,Medical Clinic,Non-Governmental Organizations,Nairobi,Dagoretti North,Dagoretti,Kawangware,Kawangware,DAGORETTI NORTH,Riruta,-1.28293,36.74322
237,Algadir Medical Clinic,Dispensary,Supreme Council for Kenya Muslims,Nakuru,Nakuru,Nakuru Municipality,Afraha,Freehold,NAKURU TOWN,Near Afraha stadium,-0.29912,36.06766
238,Alhamdu Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Wajir,Habaswein,Habaswein,Habaswein,Habaswein,WAJIR SOUTH,Habaswein Trading Centre,1.01591,39.49084
239,Al-Hamdu Medical Clinic,Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.75129,40.05686
240,Al-Haqq Medical Clinic,Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.74691,40.05662
241,Alhidaya Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Wajir,Habaswein,Habaswein,Habaswein,Habaswein,WAJIR SOUTH,Habaswein Trading Centre,1.01708,39.49343
242,Alice Nursing Home,Nursing Home,Private Enterprise (Institution),Nairobi,Embakasi South,Embakasi,Mukuru,Kwa Njenga,EMBAKASI SOUTH,Nairobi- Mukuru,-1.31699,36.8865
243,Alika Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Kikuyu,Kabete,Kabete,Kabete,KABETE,Wangige,-1.21849,36.71338
244,Aliki Medical Centre,Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Kiambu,Kiambaa,Kiambaa,Karuri,KIAMBAA,Karuri,-1.1733,36.7584
245,Alikune Dispensary,Dispensary,Ministry of Health,Garissa,Dadaab,Lagdera,Dadaab,Dertu,LAGDERA,Dadaab,-0.2067,40.0079
246,Alimaow Health Centre,Health Centre,Ministry of Health,Wajir,Wajir East,Central,Alimaow,Alimaow,WAJIR EAST,Wajir Town,1.73461,40.04766
247,Alinjugur Health Centre,Health Centre,Ministry of Health,Garissa,Fafi,Jarajilla,Alinjugur,Alinjugur,FAFI,Hagadera,-0.03048,40.45615
248,All Care Medical Centre,Medical Clinic,Private Practice - Unspecified,Nairobi,Langata,Langata,Karen,Karen,LANG'ATA,At Karen shopping centre,-1.3234,36.70736
249,All Day Medical Clinic,Medical Clinic,Private Enterprise (Institution),Murang'a,Mathioya,Mathioya,Gacharageini,Gacharageini,MATHIOYA,Kiriaini,-0.624374,36.8481
250,All Saints Musaa,Medical Clinic,Private Enterprise (Institution),Kakamega,Kakamega Central (Lurambi),Lurambi,Butsotso Central,Eshisiru,LURAMBI,Eshisiru Mkt,0.293967,34.6629
251,Alliance Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Vihiga,Sabatia,Chavakali,Chavakali,Walodeya,SABATIA,Chavakali,0.11834,34.73399
252,Alliance Medical Centre,Medical Clinic,Private Enterprise (Institution),Nairobi,Kamukunji,Eastleigh South,Eastleigh South,Eastleigh South,KAMUKUNJI,Garissa Lodge Market,-1.27943,36.85035
253,Alliance Medical Clinic,Medical Clinic,Private Practice - Medical Specialist,Garissa,Garissa, , , ,DUJIS, ,-0.45358,39.64202
254,Alliance Medical Clinic (Kirinyaga),Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,Kirinyaga West, , , ,NDIA, ,-0.56087,37.18919
255,Al-Maaruf Clinic,Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.74985,40.05763
256,Almacy Medical  Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Siaya,Bondo,Usigu,W Yimbo,Usenge,BONDO,Usenge,-0.06349,34.06152
257,Al-Maqdis ENT Clinic,Medical Clinic,Private Enterprise (Institution),Garissa,Garissa,Central,Central,Central,DUJIS,Garissa,-0.44803,39.64778
258,Almed Health Products,Medical Clinic,Private Enterprise (Institution),Meru,Imenti North,Miriga Mieru West, , ,NORTH IMENTI,Meru,3.93029,41.8686
259,Alms House Dispensary,Dispensary,Local Authority,Mombasa,Mvita,Island,Tudor,Makande,MVITA,Majendo,-4.03733,39.65704
260,Al-Mumtaz Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Garissa,Garissa,Central,Township,Galbet,DUJIS,Garissa Town,-0.47455,39.65443
261,Al-Mustaqim Clinic,Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.75129,40.05686
262,Alnas Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mandera,Mandera East,Central,Bulla Mpya,Bulla Mpya,MANDERA EAST,Mandera,3.93456,41.85067
263,Alnasar Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Garissa,Garissa, , , ,DUJIS, ,-0.44308,39.64489
264,Alpha Community Health Clinic (Migori),Medical Clinic,Private Practice - Nurse / Midwife,Migori,Migori,Suba Central,Suna Ragana,Oruba,MIGORI,Oruba Estate Migori Town,-1.06888,34.46355
265,Alpha Dental Services,Dental Clinic,Private Practice - Medical Specialist,Trans Nzoia,Trans Nzoia West,Central,Milimani,Milimani,SABOTI,Kitale,1.01627,35.00395
266,Alpha Family Health Care,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Tetu,Tetu,Karundu,Unjiru,TETU,Giakanja,-0.49212,36.96777
267,Alpha Medical Agency,Medical Clinic,Private Practice - Unspecified,Vihiga,Sabatia,Chavakali,Chavakali, ,SABATIA,Chavakali Market,0.116212,34.72601
268,Alpha Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Samburu,Samburu Central,Kirisia,Maralal,Maralal,SAMBURU WEST,Maralal Town,1.0997,36.6993
269,Alpha Medical Clinic (Kambu),Medical Clinic,Private Practice - Clinical Officer,Makueni,Kibwezi,Kambu,Kambu,Kambu,KIBWEZI,Kambu town,-2.5961,38.07333
270,Alpha Medical Clinic (Koibatek),Medical Clinic,Private Practice - Nurse / Midwife,Baringo,Koibatek,Eldama Ravine,Ravine,Ravine,ELDAMA RAVINE,Eldama Ravine,0.04847,35.72456
271,Alpha Medical Clinic Mile Tisa,Medical Clinic,Private Practice - General Practitioner,Kajiado,Kajiado Central,Namanga,Mile Tisa, ,KAJIADO CENTRAL,Mile Tisa,-2.43682,36.84749
272,Alpha Nursing Home,Medical Clinic,Private Enterprise (Institution),Machakos,Masinga,Masinga,Kivaa,Kaewa,MASINGA,Kaewa,-0.93971,37.6759
273,Alphine Dental Centre (Kencom Hse),Dental Clinic,Private Practice - Unspecified,Nairobi,Starehe,Central,Central,Central,STAREHE, ,-1.28579,36.82471
274,Alphine Health Care Centre,Medical Clinic,Private Practice - Clinical Officer,Bungoma,Bungoma South,Kanduyi,Township,Township,KANDUYI,St. Damiano Hospital,0.60866,34.65489
275,Alphond Medical Centre,Medical Clinic,Private Practice - Clinical Officer,Kakamega,Mumias West,Mumias Central,Nabongo,Township,MUMIAS,Nabongo,0.33465,34.48798
276,Al-Ramah Healthcare,Medical Clinic,Private Practice - Nurse / Midwife,Garissa,Garissa, , , ,DUJIS, ,-0.4406,39.6581
277,Al-Siha Nursing Home,Nursing Home,Private Enterprise (Institution),Mandera,Mandera East,Central,Bulla Mpya,Bulla Mpya,MANDERA EAST,Mandera,3.93507,41.85256
278,Alum Beach Dispensary,Dispensary,Ministry of Health,Homa Bay,Rachuonyo North,West Karachuonyo,West Kadhimu,Kayoo West,KARACHUONYO,Kandiege Market,-0.44673,34.48747
279,Aluor Mission Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Siaya,Gem,Wagai,South Gem,Onyinyore,GEM,Aluor Market,0.01047,34.465
280,Alupe Sub-District Hospital,Sub-District Hospital,Ministry of Health,Busia,Teso South,Chakol,Angorom,Alupe,AMAGORO,Busia,0.49723,34.13385
281,Ama (Africa Muslim Agency) Clinic,Health Centre,Supreme Council for Kenya Muslims,Kiambu,Thika West,Thika Municipality,Thika,Komu,JUJA,Thika,-1.05914,37.11405
282,Amaal Annex Nursing,Nursing Home,Private Practice - Nurse / Midwife,Mandera,Mandera East,central,central,central,MANDERA EAST,central,3.93705,41.85069
283,Amagoro Nursing Home,Nursing Home,Private Enterprise (Institution),Busia,Teso North,Amagoro,Amagoro,Amagoro,AMAGORO,Amagoro,0.62761,34.33368
284,Amaiga Dispensary (Manga),Dispensary,Ministry of Health,Nyamira,Manga,Kemera,Kemera, ,KITUTU MASABA,Kenyenya Market,0.4638,34.92974
285,Amakuriat Dispensary,Dispensary,Other Faith Based,West Pokot,North Pokot,Alale,Alale,Amakuriat,KACHELIBA,Makutano,2.27808,35.00542
286,Amal Medical Clinic,Medical Clinic,Private Enterprise (Institution),Mandera,Mandera East,Central,Bulla Jamhuri,Bulla Jamhuria,MANDERA EAST,Mandera,3.93702,41.83541
287,Amalya Medical Centre,Medical Clinic,Private Practice - Clinical Officer,Kiambu,Kikuyu,Kikuyu,Gitaru,Gitaru,KABETE,Gitaru,-1.23322,36.67059
